Image Name,Disaster Type,Severity
"Tree falling on house, Wirral, England.jpg",tree,1
Trees that have been uprooted by a storm.jpg,storm,1
Tropical Cyclone Hits South Of Brazil.jpg,tornado,2
Tropical Storm Debby Brings Soaking Rains To The Southeast.jpg,storm,1
Turkey ahead of the anniversary of the earthquake 2.jpg,earthquake,2
Turkey ahead of the anniversary of the earthquake.jpg,earthquake,2
Typhoon Haiyan Philippines - Aftermath.jpg,storm,1
U.S.-LOUISIANA-NEW ORLEANS-TORNADO-AFTERMATH.jpg,tornado,2
US-WEATHER-STORM-CALIFORNIA-FLOODING 2.jpg,storm,1
US-WEATHER-STORM-CALIFORNIA-FLOODING.jpg,storm,1
USA - Hurricane Katrina - Aftermath.jpg,storm,1
Water damaged floor.jpg,structural damage,1
Water_damaged_basement.jpg,structural damage,1
Weathered white paint on a red brick wall and A dirty asphalt floor.jpg,surface damage,0
"Wider cracks, serious structural damage.jpg",structural damage,1
Wildfires tear through Los Angeles.jpg,fire,2
Window with old dirty curtains in an abandoned building.jpg,storm,1
Woman removing house mold in her property..jpg,mold,1
Wood After Flooding In Spain.jpg,flood,2
a damaged house caused by a tornado .jpg,structural damage,1
a_black_and_white_photo_of_a_flooded_house.jpg,flood,2
abandoned_home_nature_growing.jpg,abandoned,1
after_the_storm.jpg,storm,1
bathroom_flooded_by_water.jpg,flood,2
broken_water_pipe_in_flooded_room.jpg,leak,1
building on fire.jpg,fire,2
burned out car.jpg,fire,2
burned_house_remains.jpg,fire,2
ceiling_broken_peeling_paint.jpg,surface damage,1
ceiling_collapse_man_falling_through.jpg,structural damage,1
ceiling_leaking.jpg,leak,1
chandelier_fell_from_ceiling.jpg,surface damage,0
cleaning mold that is growing on floor.jpg,mold,1
cold lava flood from Mount Marapi in Indonesia.jpg,flood,2
couch_catching_on_fire.jpg,fire,2
crack in window due to hit.jpg,structural damage,1
cracked windows from being hit.jpg,structural damage,1
cracked_window_from_home_burglary.jpg,structural damage,1
cracking plaster wal.jpg,structural damage,1
cyclone_damaging_house_and_starting_fire.jpg,tornado,2
damaged after a heavy storm 2.jpg,structural damage,1
damaged after a heavy storm.jpg,structural damage,1
dog ripped sofa .jpg,surface damage,0
"earthquake near Marrakech, Morocco..jpg",earthquake,2
earthquake near Morocco 2.jpg,earthquake,2
earthquake near Morocco 3.jpg,earthquake,2
earthquake near Morocco 4.jpg,earthquake,2
earthquake near Morocco 5.jpg,earthquake,2
earthquake near Morocco 6.jpg,earthquake,2
earthquake near Morocco 7.jpg,earthquake,2
earthquake near Morocco.jpg,earthquake,2
electric appliance starting spark and fire.jpg,fire,2
electric_cord_catchin_on_fire.jpg,fire,2
electrical_cord_catching_on_fire.jpg,fire,2
fallen_tree_on_house.jpg,tree,1
fire_starting_from_stove.jpg,fire,2
flood emergency.jpg,flood,2
flooded_house.jpg,flood,2
flooding in house.jpg,flood,2
flooding_from_hurricane.jpg,storm,1
floodwaters from Tropical Storm.jpg,storm,1
food burning in oven.jpg,fire,2
heavy rains cause cliff landslide with houses along cliff.jpg,landslide,1
hole_in_wall.jpg,surface damage,0
home destroyed from heavy storm and win.jpg,storm,1
home_destroyed_by_tornado.jpg,tornado,2
house and tree damage caused by river flooding.jpg,structural damage,1
house fence fell over.jpg,structural damage,1
house_consumed_in_smoke_and_fire.jpg,fire,2
house_desctroyed_by_earthquake_falling_over.jpg,earthquake,2
house_fire.jpg,fire,2
house_fire_series.jpg,fire,2
house_flipped_over_by_tornado.jpg,tornado,2
house_submerged_by_flood.jpg,flood,2
hurricane causes damage along coast homes.jpg,structural damage,1
hurricane_damage.jpg,structural damage,1
hurricane_season.jpg,storm,1
landslide.jpg,landslide,1
leaky_faucet_water_burst.jpg,leak,1
leaky_pipe_in_ceiling.jpg,leak,1
lightning fire damage.jpg,structural damage,1
major flooding.jpg,flood,2
man_fixing_a_leak_under_the_bathroom_sink.jpg,leak,1
missing_roof_tilling.jpg,surface damage,0
mold_growing_on_ceiling.jpg,mold,1
mold_on_wall.jpg,mold,1
mud landslide and flooding .jpg,landslide,1
oaklahoma home wrecked by tornado.jpg,structural damage,1
oven_catching_on_fire.jpg,fire,2
peeling_wall_paint_and_dirty_sofa.jpg,surface damage,0
plumbing_mishap.jpg,leak,1
poor quality pipe of building leaking and damaging the exterior paint.jpg,leak,1
powerful earthquake in Morocco 1.jpg,earthquake,2
powerful earthquake in Morocco 2.jpg,earthquake,2
powerful earthquake in Morocco 3.jpg,earthquake,2
powerful earthquake in Morocco 4.jpg,earthquake,2
property damaged after Hurricane Ian.jpg,structural damage,1
property damaged after Hurricane Ian2.jpg,structural damage,1
rescuing in flooded area.jpg,flood,2
roof tilling falling apart.jpg,surface damage,1
running faucet cause water flooding.jpg,flood,2
rust and mold around faucet.jpg,mold,1
severe_porch_damage_and_cracked_walls.jpg,structural damage,1
sewage_flood_home_restoration.jpg,flood,2
smoke from burning food in oven.jpg,fire,2
snow_buildup_on_roof.jpg,snow,0
snow_covered_wooden_house_during_daytime.jpg,snow,0
soccer_ball_cracked_television.jpg,structural damage,1
storm causes major damage in los angeles.jpg,structural damage,1
storm harvey causes heavy flooding.jpg,storm,1
streets flooded after storm.jpg,storm,1
tornado leaves debris and structure damage.jpg,structural damage,1
tornado removed building roof and walls.jpg,tornado,2
tree_fallen_on_home.jpg,tree,1
typhoon flood.jpg,storm,1
uprooted tree lands on house roof.jpg,tree,1
uprooted_tree.jpg,tree,0
uprooted_tree_falling_on_house_roof.jpg,tree,1
water_flooding_in_house.jpg,flood,2
water_leaking_from_ceiling_after_storm.jpg,storm,1
water_pipe_leakage.jpg,leak,1
white wall breaking because of an earthquake.jpg,earthquake,2
wild fire in spain.jpg,fire,2
winds knock over house fence.jpg,storm,1
woman cleaning up flooded home.jpg,flood,2
woman_examining_crack_in_wall.jpg,structural damage,1
woman_sweeping_water_out_of_flooded_house.jpg,flood,2
wood floor decaying .jpg,surface damage,1
wood rotting in wall.jpg,surface damage,0
wooden_house_destroyed_by_hurricane.jpg,storm,1
young_couple_in_sofa_in_a_flooded_room.jpg,flood,2
